x	RungeKutta4	SoluciónExacta	Error
3.15	70.3325	70.3586	0.0260878
3.16	71.2969	71.3231	0.0261706
3.17	72.2735	72.2997	0.0262534
3.18	73.2623	73.2887	0.0263362
3.19	74.2637	74.2901	0.026419
3.2	75.2776	75.3041	0.0265019
3.21	76.3043	76.3309	0.0265847
3.22	77.3439	77.3705	0.0266675
3.23	78.3965	78.4233	0.0267503
3.24	79.4624	79.4893	0.0268331
3.25	80.5417	80.5686	0.0269159
3.26	81.6345	81.6615	0.0269988
3.27	82.741	82.7681	0.0270816
3.28	83.8614	83.8885	0.0271644
3.29	84.9958	85.023	0.0272472
3.3	86.1444	86.1717	0.02733
3.31	87.3074	87.3348	0.0274129
3.32	88.4849	88.5124	0.0274957
3.33	89.6771	89.7047	0.0275785
3.34	90.8842	90.9119	0.0276613
3.35	92.1064	92.1342	0.0277441
3.36	93.3439	93.3717	0.0278269
3.37	94.5967	94.6246	0.0279098
3.38	95.8652	95.8932	0.0279926
3.39	97.1495	97.1776	0.0280754
3.4	98.4498	98.4779	0.0281582
3.41	99.7662	99.7945	0.028241
3.42	101.099	101.127	0.0283239
3.43	102.448	102.477	0.0284067
3.44	103.815	103.843	0.0284895
3.45	105.198	105.226	0.0285723
3.46	106.598	106.627	0.0286551
3.47	108.016	108.044	0.0287379
3.48	109.451	109.48	0.0288208
3.49	110.904	110.933	0.0289036
3.5	112.375	112.404	0.0289864
3.51	113.864	113.893	0.0290692
3.52	115.372	115.401	0.029152
3.53	116.898	116.928	0.0292349
3.54	118.444	118.473	0.0293177
3.55	120.008	120.037	0.0294005
3.56	121.591	121.621	0.0294833
3.57	123.195	123.224	0.0295661
3.58	124.818	124.847	0.0296489
3.59	126.461	126.49	0.0297318
3.6	128.124	128.154	0.0298146
3.61	129.808	129.837	0.0298974
3.62	131.512	131.542	0.0299802
3.63	133.237	133.268	0.030063
3.64	134.984	135.014	0.0301459
3.65	136.752	136.783	0.0302287
3.66	138.542	138.573	0.0303115
3.67	140.354	140.384	0.0303943
