x	RungeKutta4	SoluciónExacta	Error
6.58	0.137745	0.138282	0.000536883
6.59	0.137572	0.138108	0.000536208
6.6	0.137399	0.137934	0.000535535
6.61	0.137226	0.137761	0.000534863
6.62	0.137054	0.137589	0.000534193
6.63	0.136883	0.137416	0.000533524
6.64	0.136712	0.137245	0.000532857
6.65	0.136541	0.137073	0.000532192
6.66	0.136371	0.136902	0.000531527
6.67	0.136201	0.136731	0.000530865
6.68	0.136031	0.136561	0.000530203
6.69	0.135862	0.136391	0.000529544
6.7	0.135693	0.136222	0.000528885
6.71	0.135524	0.136052	0.000528229
6.72	0.135356	0.135884	0.000527573
6.73	0.135188	0.135715	0.000526919
6.74	0.135021	0.135547	0.000526267
6.75	0.134854	0.135379	0.000525616
6.76	0.134687	0.135212	0.000524966
6.77	0.134521	0.135045	0.000524318
6.78	0.134355	0.134879	0.000523672
6.79	0.13419	0.134713	0.000523026
6.8	0.134024	0.134547	0.000522383
6.81	0.13386	0.134381	0.00052174
6.82	0.133695	0.134216	0.000521099
6.83	0.133531	0.134052	0.00052046
6.84	0.133367	0.133887	0.000519822
6.85	0.133204	0.133723	0.000519185
6.86	0.133041	0.13356	0.00051855
6.87	0.132878	0.133396	0.000517916
6.88	0.132716	0.133233	0.000517284
6.89	0.132554	0.133071	0.000516653
6.9	0.132393	0.132909	0.000516023
6.91	0.132231	0.132747	0.000515395
6.92	0.132071	0.132585	0.000514768
6.93	0.13191	0.132424	0.000514142
6.94	0.13175	0.132264	0.000513518
6.95	0.13159	0.132103	0.000512895
6.96	0.131431	0.131943	0.000512274
6.97	0.131272	0.131783	0.000511654
6.98	0.131113	0.131624	0.000511035
6.99	0.130955	0.131465	0.000510418
7	0.130797	0.131306	0.000509802
7.01	0.130639	0.131148	0.000509187
7.02	0.130482	0.13099	0.000508574
7.03	0.130325	0.130833	0.000507962
7.04	0.130168	0.130675	0.000507352
7.05	0.130012	0.130518	0.000506742
7.06	0.129856	0.130362	0.000506135
7.07	0.1297	0.130206	0.000505528
7.08	0.129545	0.13005	0.000504923
7.09	0.12939	0.129894	0.000504319
7.1	0.129235	0.129739	0.000503716
7.11	0.129081	0.129584	0.000503115
7.12	0.128927	0.129429	0.000502515
7.13	0.128773	0.129275	0.000501916
7.14	0.12862	0.129121	0.000501319
7.15	0.128467	0.128968	0.000500722
7.16	0.128315	0.128815	0.000500128
7.17	0.128162	0.128662	0.000499534
7.18	0.12801	0.128509	0.000498942
7.19	0.127859	0.128357	0.000498351
7.2	0.127707	0.128205	0.000497761
7.21	0.127556	0.128054	0.000497173
7.22	0.127406	0.127902	0.000496586
7.23	0.127255	0.127751	0.000496
7.24	0.127105	0.127601	0.000495415
7.25	0.126956	0.127451	0.000494832
7.26	0.126806	0.127301	0.00049425
7.27	0.126657	0.127151	0.000493669
7.28	0.126509	0.127002	0.000493089
7.29	0.12636	0.126853	0.000492511
7.3	0.126212	0.126704	0.000491934
7.31	0.126064	0.126556	0.000491358
7.32	0.125917	0.126408	0.000490783
7.33	0.12577	0.12626	0.00049021
7.34	0.125623	0.126113	0.000489637
7.35	0.125477	0.125966	0.000489066
7.36	0.12533	0.125819	0.000488497
7.37	0.125185	0.125672	0.000487928
7.38	0.125039	0.125526	0.000487361
7.39	0.124894	0.125381	0.000486795
7.4	0.124749	0.125235	0.00048623
7.41	0.124604	0.12509	0.000485666
7.42	0.12446	0.124945	0.000485103
7.43	0.124316	0.1248	0.000484542
7.44	0.124172	0.124656	0.000483982
7.45	0.124029	0.124512	0.000483423
7.46	0.123886	0.124368	0.000482865
7.47	0.123743	0.124225	0.000482309
7.48	0.1236	0.124082	0.000481753
7.49	0.123458	0.123939	0.000481199
7.5	0.123316	0.123797	0.000480646
7.51	0.123175	0.123655	0.000480094
7.52	0.123033	0.123513	0.000479543
7.53	0.122892	0.123371	0.000478994
7.54	0.122752	0.12323	0.000478445
7.55	0.122611	0.123089	0.000477898
7.56	0.122471	0.122949	0.000477352
7.57	0.122331	0.122808	0.000476807
7.58	0.122192	0.122668	0.000476263
7.59	0.122053	0.122528	0.000475721
7.6	0.121914	0.122389	0.000475179
7.61	0.121775	0.12225	0.000474639
7.62	0.121637	0.122111	0.0004741
7.63	0.121499	0.121972	0.000473561
7.64	0.121361	0.121834	0.000473024
7.65	0.121223	0.121696	0.000472489
7.66	0.121086	0.121558	0.000471954
7.67	0.120949	0.121421	0.00047142
7.68	0.120813	0.121284	0.000470888
7.69	0.120676	0.121147	0.000470356
7.7	0.12054	0.12101	0.000469826
7.71	0.120404	0.120874	0.000469297
7.72	0.120269	0.120738	0.000468769
7.73	0.120134	0.120602	0.000468242
7.74	0.119999	0.120467	0.000467716
7.75	0.119864	0.120331	0.000467191
7.76	0.11973	0.120196	0.000466667
7.77	0.119596	0.120062	0.000466145
7.78	0.119462	0.119928	0.000465623
