	masa_A
t	x
1,259167E1	1,689261E-1
1,262500E1	1,689261E-1
1,265833E1	1,689261E-1
1,269167E1	1,689261E-1
1,272500E1	1,689261E-1
1,275833E1	1,689261E-1
1,279167E1	1,689261E-1
1,282500E1	1,440928E-1
1,285833E1	1,229976E-1
1,289167E1	1,369767E-1
1,292500E1	1,436324E-1
1,295833E1	1,537554E-1
1,299167E1	1,589905E-1
1,302500E1	1,587444E-1
1,305833E1	2,353287E-1
1,309167E1	1,948420E-1
1,312500E1	1,882437E-1
1,315833E1	1,833223E-1
1,319167E1	1,795107E-1
1,322500E1	1,820707E-1
1,325833E1	1,820707E-1
1,329167E1	1,820707E-1
1,332500E1	1,820707E-1
1,335833E1	1,820707E-1
1,339167E1	1,820707E-1
1,342500E1	1,820707E-1
1,345833E1	1,820707E-1
1,349167E1	1,820707E-1
1,352500E1	1,820707E-1
1,355833E1	1,820707E-1
1,359167E1	1,820707E-1
